year,month,state_id,gender_id,value,pp_id
2034,October,27,3,1520,718
2034,October,27,1,797,719
2034,October,27,2,723,720
2034,October,18,3,781,721
2034,October,18,1,391,722
2034,October,18,2,390,723
2034,October,22,3,775,724
2034,October,22,1,387,725
2034,October,22,2,388,726
2034,October,6,3,1250,727
2034,October,6,1,617,728
2034,October,6,2,633,729
2034,October,1,3,70207,730
2034,October,1,1,36893,731
2034,October,1,2,33314,732
2034,October,3,3,29260,733
2034,October,3,1,15256,734
2034,October,3,2,14005,735
2034,October,36,3,71,736
2034,October,36,1,37,737
2034,October,36,2,34,738
2034,October,35,3,126,739
2034,October,35,1,82,740
2034,October,35,2,43,741
2034,October,7,3,34992,742
2034,October,7,1,16735,743
2034,October,7,2,18258,744
2034,October,10,3,35822,745
2034,October,10,1,18249,746
2034,October,10,2,17574,747
2034,October,24,3,12553,748
2034,October,24,1,6572,749
2034,October,24,2,5981,750
2034,October,32,3,4912,751
2034,October,32,1,2660,752
2034,October,32,2,2253,753
2034,October,23,3,822,754
2034,October,23,1,444,755
2034,October,23,2,379,756
2034,October,25,3,16606,757
2034,October,25,1,8866,758
2034,October,25,2,7740,759
2034,October,11,3,43651,760
2034,October,11,1,23219,761
2034,October,11,2,20433,762
2034,October,33,3,1440,763
2034,October,33,1,736,764
2034,October,33,2,704,765
2034,October,29,3,26013,766
2034,October,29,1,13926,767
2034,October,29,2,12087,768
2034,October,34,3,1719,769
2034,October,34,1,1444,770
2034,October,34,2,276,771
2034,October,34,3,1243,772
2034,October,34,1,739,773
2034,October,34,2,504,774
2034,October,4,3,10385,775
2034,October,4,1,5309,776
2034,October,4,2,5076,777
2034,October,19,3,1348,778
2034,October,19,1,740,779
2034,October,19,2,608,780
2034,October,2,3,19299,781
2034,October,2,1,10184,782
2034,October,2,2,9115,783
2034,October,5,3,6635,784
2034,October,5,1,3409,785
2034,October,5,2,3225,786
2034,October,26,3,482,787
2034,October,26,1,255,788
2034,October,26,2,227,789
2034,October,14,3,23751,790
2034,October,14,1,11953,791
2034,October,14,2,11798,792
2034,October,30,3,209,793
2034,October,30,1,112,794
2034,October,30,2,98,795
2034,October,37,3,583298,796
2034,October,37,1,302685,797
2034,October,37,2,280613,798
2034,March,8,3,42608,799
2034,March,8,1,21918,800
2034,March,8,2,20690,801
2034,March,12,3,5253,802
2034,March,12,1,2788,803
2034,March,12,2,2465,804
2034,March,16,3,65605,805
2034,March,16,1,34638,806
2034,March,16,2,30967,807
